"Number","Significant_Frequency","Period_Years","Period_days"
1,364.268537074148,12.0240963855422,4388.79518072289
1,728.537074148297,6.01204819277108,2194.39759036145
1,1092.80561122244,4.00803212851406,1462.93172690763
1,1461.4629258517,2.996996996997,1093.9039039039
1,1825.73146292585,2.39903846153846,875.649038461539
2,364.268537074148,12.0240963855422,4388.79518072289
2,728.537074148297,6.01204819277108,2194.39759036145
2,1092.80561122244,4.00803212851406,1462.93172690763
2,1461.4629258517,2.996996996997,1093.9039039039
2,1825.73146292585,2.39903846153846,875.649038461539
3,364.268537074148,12.0240963855422,4388.79518072289
3,728.537074148297,6.01204819277108,2194.39759036145
3,1097.19438877755,3.992,1457.08
3,1461.4629258517,2.996996996997,1093.9039039039
3,1825.73146292585,2.39903846153846,875.649038461539
4,364.268537074148,12.0240963855422,4388.79518072289
4,728.537074148297,6.01204819277108,2194.39759036145
4,1092.80561122244,4.00803212851406,1462.93172690763
4,1461.4629258517,2.996996996997,1093.9039039039
4,1825.73146292585,2.39903846153846,875.649038461539
5,364.268537074148,12.0240963855422,4388.79518072289
5,728.537074148297,6.01204819277108,2194.39759036145
5,1097.19438877755,3.992,1457.08
5,1461.4629258517,2.996996996997,1093.9039039039
5,1825.73146292585,2.39903846153846,875.649038461539
6,364.268537074148,12.0240963855422,4388.79518072289
6,728.537074148297,6.01204819277108,2194.39759036145
6,1097.19438877755,3.992,1457.08
6,1461.4629258517,2.996996996997,1093.9039039039
6,1825.73146292585,2.39903846153846,875.649038461539
7,364.268537074148,12.0240963855422,4388.79518072289
7,728.537074148297,6.01204819277108,2194.39759036145
7,1097.19438877755,3.992,1457.08
7,1461.4629258517,2.996996996997,1093.9039039039
7,1825.73146292585,2.39903846153846,875.649038461539
8,364.268537074148,12.0240963855422,4388.79518072289
8,728.537074148297,6.01204819277108,2194.39759036145
8,1097.19438877755,3.992,1457.08
8,1461.4629258517,2.996996996997,1093.9039039039
8,1825.73146292585,2.39903846153846,875.649038461539
9,364.268537074148,12.0240963855422,4388.79518072289
9,728.537074148297,6.01204819277108,2194.39759036145
9,1097.19438877755,3.992,1457.08
9,1461.4629258517,2.996996996997,1093.9039039039
9,1825.73146292585,2.39903846153846,875.649038461539
10,364.268537074148,12.0240963855422,4388.79518072289
10,728.537074148297,6.01204819277108,2194.39759036145
10,1097.19438877755,3.992,1457.08
10,1461.4629258517,2.996996996997,1093.9039039039
10,1825.73146292585,2.39903846153846,875.649038461539
11,364.268537074148,12.0240963855422,4388.79518072289
11,728.537074148297,6.01204819277108,2194.39759036145
11,1097.19438877755,3.992,1457.08
11,1461.4629258517,2.996996996997,1093.9039039039
11,1825.73146292585,2.39903846153846,875.649038461539
12,364.268537074148,12.0240963855422,4388.79518072289
12,728.537074148297,6.01204819277108,2194.39759036145
12,1097.19438877755,3.992,1457.08
12,1461.4629258517,2.996996996997,1093.9039039039
12,1825.73146292585,2.39903846153846,875.649038461539
13,364.268537074148,12.0240963855422,4388.79518072289
13,728.537074148297,6.01204819277108,2194.39759036145
13,1097.19438877755,3.992,1457.08
13,1461.4629258517,2.996996996997,1093.9039039039
13,1825.73146292585,2.39903846153846,875.649038461539
14,364.268537074148,12.0240963855422,4388.79518072289
14,728.537074148297,6.01204819277108,2194.39759036145
14,1097.19438877755,3.992,1457.08
14,1461.4629258517,2.996996996997,1093.9039039039
14,1825.73146292585,2.39903846153846,875.649038461539
15,364.268537074148,12.0240963855422,4388.79518072289
15,728.537074148297,6.01204819277108,2194.39759036145
15,1097.19438877755,3.992,1457.08
15,1461.4629258517,2.996996996997,1093.9039039039
15,1825.73146292585,2.39903846153846,875.649038461539
16,364.268537074148,12.0240963855422,4388.79518072289
16,728.537074148297,6.01204819277108,2194.39759036145
16,1097.19438877755,3.992,1457.08
16,1461.4629258517,2.996996996997,1093.9039039039
16,1825.73146292585,2.39903846153846,875.649038461539
17,364.268537074148,12.0240963855422,4388.79518072289
17,728.537074148297,6.01204819277108,2194.39759036145
17,1097.19438877755,3.992,1457.08
17,1461.4629258517,2.996996996997,1093.9039039039
17,1825.73146292585,2.39903846153846,875.649038461539
18,364.268537074148,12.0240963855422,4388.79518072289
18,728.537074148297,6.01204819277108,2194.39759036145
18,1092.80561122244,4.00803212851406,1462.93172690763
18,1461.4629258517,2.996996996997,1093.9039039039
18,1825.73146292585,2.39903846153846,875.649038461539
19,364.268537074148,12.0240963855422,4388.79518072289
19,728.537074148297,6.01204819277108,2194.39759036145
19,1097.19438877755,3.992,1457.08
19,1461.4629258517,2.996996996997,1093.9039039039
19,1825.73146292585,2.39903846153846,875.649038461539
20,364.268537074148,12.0240963855422,4388.79518072289
20,728.537074148297,6.01204819277108,2194.39759036145
20,1097.19438877755,3.992,1457.08
20,1461.4629258517,2.996996996997,1093.9039039039
20,1825.73146292585,2.39903846153846,875.649038461539
21,364.268537074148,12.0240963855422,4388.79518072289
21,728.537074148297,6.01204819277108,2194.39759036145
21,1097.19438877755,3.992,1457.08
21,1461.4629258517,2.996996996997,1093.9039039039
21,1825.73146292585,2.39903846153846,875.649038461539
22,364.268537074148,12.0240963855422,4388.79518072289
22,728.537074148297,6.01204819277108,2194.39759036145
22,1097.19438877755,3.992,1457.08
22,1461.4629258517,2.996996996997,1093.9039039039
22,1825.73146292585,2.39903846153846,875.649038461539
23,364.268537074148,12.0240963855422,4388.79518072289
23,728.537074148297,6.01204819277108,2194.39759036145
23,1097.19438877755,3.992,1457.08
23,1461.4629258517,2.996996996997,1093.9039039039
23,1825.73146292585,2.39903846153846,875.649038461539
24,364.268537074148,12.0240963855422,4388.79518072289
24,728.537074148297,6.01204819277108,2194.39759036145
24,1092.80561122244,4.00803212851406,1462.93172690763
24,1461.4629258517,2.996996996997,1093.9039039039
24,1825.73146292585,2.39903846153846,875.649038461539
25,364.268537074148,12.0240963855422,4388.79518072289
25,728.537074148297,6.01204819277108,2194.39759036145
25,1092.80561122244,4.00803212851406,1462.93172690763
25,1461.4629258517,2.996996996997,1093.9039039039
25,1825.73146292585,2.39903846153846,875.649038461539
26,364.268537074148,12.0240963855422,4388.79518072289
26,728.537074148297,6.01204819277108,2194.39759036145
26,1097.19438877755,3.992,1457.08
26,1461.4629258517,2.996996996997,1093.9039039039
26,1825.73146292585,2.39903846153846,875.649038461539
27,364.268537074148,12.0240963855422,4388.79518072289
27,728.537074148297,6.01204819277108,2194.39759036145
27,1097.19438877755,3.992,1457.08
27,1461.4629258517,2.996996996997,1093.9039039039
27,1825.73146292585,2.39903846153846,875.649038461539
28,364.268537074148,12.0240963855422,4388.79518072289
28,728.537074148297,6.01204819277108,2194.39759036145
28,1097.19438877755,3.992,1457.08
28,1461.4629258517,2.996996996997,1093.9039039039
28,1825.73146292585,2.39903846153846,875.649038461539
29,364.268537074148,12.0240963855422,4388.79518072289
29,728.537074148297,6.01204819277108,2194.39759036145
29,1092.80561122244,4.00803212851406,1462.93172690763
29,1461.4629258517,2.996996996997,1093.9039039039
29,1825.73146292585,2.39903846153846,875.649038461539
30,364.268537074148,12.0240963855422,4388.79518072289
30,728.537074148297,6.01204819277108,2194.39759036145
30,1092.80561122244,4.00803212851406,1462.93172690763
30,1461.4629258517,2.996996996997,1093.9039039039
30,1825.73146292585,2.39903846153846,875.649038461539
31,364.268537074148,12.0240963855422,4388.79518072289
31,728.537074148297,6.01204819277108,2194.39759036145
31,1092.80561122244,4.00803212851406,1462.93172690763
31,1461.4629258517,2.996996996997,1093.9039039039
31,1825.73146292585,2.39903846153846,875.649038461539
32,364.268537074148,12.0240963855422,4388.79518072289
32,728.537074148297,6.01204819277108,2194.39759036145
32,1092.80561122244,4.00803212851406,1462.93172690763
32,1461.4629258517,2.996996996997,1093.9039039039
32,1825.73146292585,2.39903846153846,875.649038461539
33,364.268537074148,12.0240963855422,4388.79518072289
33,728.537074148297,6.01204819277108,2194.39759036145
33,1092.80561122244,4.00803212851406,1462.93172690763
33,1461.4629258517,2.996996996997,1093.9039039039
33,1825.73146292585,2.39903846153846,875.649038461539
34,364.268537074148,12.0240963855422,4388.79518072289
34,728.537074148297,6.01204819277108,2194.39759036145
34,1092.80561122244,4.00803212851406,1462.93172690763
34,1461.4629258517,2.996996996997,1093.9039039039
34,1825.73146292585,2.39903846153846,875.649038461539
35,364.268537074148,12.0240963855422,4388.79518072289
35,728.537074148297,6.01204819277108,2194.39759036145
35,1092.80561122244,4.00803212851406,1462.93172690763
35,1461.4629258517,2.996996996997,1093.9039039039
35,1825.73146292585,2.39903846153846,875.649038461539
36,364.268537074148,12.0240963855422,4388.79518072289
36,728.537074148297,6.01204819277108,2194.39759036145
36,1092.80561122244,4.00803212851406,1462.93172690763
36,1461.4629258517,2.996996996997,1093.9039039039
36,1825.73146292585,2.39903846153846,875.649038461539
37,364.268537074148,12.0240963855422,4388.79518072289
37,728.537074148297,6.01204819277108,2194.39759036145
37,1097.19438877755,3.992,1457.08
37,1461.4629258517,2.996996996997,1093.9039039039
37,1825.73146292585,2.39903846153846,875.649038461539
38,364.268537074148,12.0240963855422,4388.79518072289
38,728.537074148297,6.01204819277108,2194.39759036145
38,1092.80561122244,4.00803212851406,1462.93172690763
38,1461.4629258517,2.996996996997,1093.9039039039
38,1825.73146292585,2.39903846153846,875.649038461539
39,364.268537074148,12.0240963855422,4388.79518072289
39,728.537074148297,6.01204819277108,2194.39759036145
39,1097.19438877755,3.992,1457.08
39,1461.4629258517,2.996996996997,1093.9039039039
39,1825.73146292585,2.39903846153846,875.649038461539
40,364.268537074148,12.0240963855422,4388.79518072289
